R,M,M1,M2,M3,ARA,RRA,AP,RP,AT,RT
1.17,0.84978961,-0.44700796,3.41307137,-21.70428606,0.52602192,0.61544564,7.63537048,8.93338347,6.3591656,7.44022375
1.17006667,0.84975981,-0.44678047,3.41162474,-21.69463352,0.52577265,0.61518905,7.63602033,8.93465285,6.35903277,7.44049227
1.17013333,0.84973004,-0.44655308,3.41017875,-21.68498659,0.52552347,0.61493253,7.63667063,8.93592286,6.35890027,7.44076116
1.1702,0.84970027,-0.44632578,3.40873341,-21.67534525,0.52527437,0.61467607,7.63732138,8.93719348,6.3587681,7.44103043
1.17026667,0.84967053,-0.44609858,3.40728871,-21.66570951,0.52502536,0.61441968,7.63797259,8.93846473,6.35863626,7.44130006
1.17033333,0.84964079,-0.44587147,3.40584465,-21.65607937,0.52477644,0.61416336,7.63862426,8.93973659,6.35850475,7.44157006
1.1704,0.84961108,-0.44564446,3.40440123,-21.64645481,0.52452761,0.61390711,7.63927637,8.94100907,6.35837357,7.44184043
1.17046667,0.84958137,-0.44541755,3.40295845,-21.63683584,0.52427886,0.61365093,7.63992895,8.94228217,6.35824273,7.44211117
1.17053333,0.84955169,-0.44519074,3.40151632,-21.62722245,0.5240302,0.61339481,7.64058197,8.94355589,6.35811221,7.44238228
1.1706,0.84952202,-0.44496402,3.40007482,-21.61761464,0.52378162,0.61313876,7.64123545,8.94483022,6.35798203,7.44265377
1.17066667,0.84949236,-0.44473739,3.39863397,-21.6080124,0.52353313,0.61288278,7.64188939,8.94610518,6.35785218,7.44292562
1.17073333,0.84946272,-0.44451087,3.39719376,-21.59841573,0.52328473,0.61262687,7.64254378,8.94738076,6.35772266,7.44319784
1.1708,0.84943309,-0.44428443,3.39575418,-21.58882463,0.52303641,0.61237103,7.64319863,8.94865696,6.35759347,7.44347044
1.17086667,0.84940348,-0.4440581,3.39431525,-21.57923908,0.52278818,0.61211525,7.64385394,8.94993378,6.35746462,7.44374341
1.17093333,0.84937388,-0.44383186,3.39287695,-21.5696591,0.52254004,0.61185955,7.64450969,8.95121122,6.3573361,7.44401675
1.171,0.8493443,-0.44360572,3.39143929,-21.56008467,0.52229198,0.61160391,7.64516591,8.95248928,6.35720791,7.44429046
1.17106667,0.84931474,-0.44337967,3.39000227,-21.5505158,0.52204401,0.61134833,7.64582258,8.95376796,6.35708005,7.44456454
